id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,distress_flag,borrowings_x,deleveraging_flag,capital_allocation_label,borrowings_y,total_assets,free_cash_flow,previous_label
938,PNB,Mar 2021,30950.0,-787.0,5415.0,35579.0,100,Strong,2.54281098546042,Normal,NO,59394.0,NO,Growth Investment,59394.0,71333.0,30163.0,Financial Stress
941,PNB,Mar 2024,-27939.0,-1506.0,3518.0,-25928.0,40,Weak,5.390314613980458,Normal,YES,55017.0,NO,Financial Stress,55017.0,72371.0,-29445.0,Growth Investment
951,POWERGRID,Mar 2022,26124.0,753.0,-28967.0,-2091.0,100,Strong,2.882406982085438,Normal,NO,134696.0,NO,Stable,134696.0,250950.0,26877.0,Growth Investment
952,POWERGRID,Mar 2023,40203.0,-7138.0,-30450.0,2615.0,100,Strong,17.75489391338955,Normal,NO,128584.0,NO,Growth Investment,128584.0,252225.0,33065.0,Stable
958,RECLTD,Mar 2017,6805.0,-101.0,-3947.0,2757.0,100,Strong,1.484202792064658,Normal,NO,167852.0,NO,Growth Investment,167852.0,210245.0,6704.0,Financial Stress
959,RECLTD,Mar 2018,-32510.0,46.0,28244.0,-4220.0,40,Weak,0.1414949246385727,Normal,YES,204367.0,NO,Financial Stress,204367.0,242370.0,-32464.0,Growth Investment
995,SBIN,Mar 2018,-96508.0,13053.0,5547.0,-77908.0,40,Weak,13.52530360177395,Normal,YES,,NO,Financial Stress,,,-83455.0,Growth Investment
996,SBIN,Mar 2019,29556.0,220.0,448.0,30223.0,100,Strong,0.7443497090269319,Normal,NO,,NO,Stable,,,29776.0,Financial Stress
997,SBIN,Mar 2020,23929.0,-555.0,5430.0,28803.0,100,Strong,2.31936144427264,Normal,NO,,NO,Growth Investment,,,23374.0,Stable
1000,SBIN,Mar 2023,-86014.0,-966.0,6386.0,-80593.0,40,Weak,1.123072988118213,Normal,YES,,NO,Financial Stress,,,-86980.0,Growth Investment
1001,SBIN,Mar 2024,21632.0,-3476.0,-9896.0,8260.0,100,Strong,16.06878698224852,Normal,NO,,NO,Growth Investment,,,18156.0,Financial Stress
1031,SIEMENS,Sep 2018,100.0,-174.0,-305.0,-379.0,100,Strong,174.0,High,NO,0.0,NO,Growth Investment,0.0,14336.0,-74.0,Stable
1033,SIEMENS,Sep 2020,720.0,871.0,-386.0,1205.0,100,Strong,120.9722222222222,High,NO,0.0,NO,Stable,0.0,15860.0,1591.0,Growth Investment
1034,SIEMENS,Sep 2021,1422.0,-2389.0,-502.0,-1469.0,100,Strong,168.0028129395218,High,NO,4.0,NO,Growth Investment,4.0,18015.0,-967.0,Stable
1046,SUNPHARMA,Mar 2021,6170.0,407.0,-5980.0,596.0,100,Strong,6.59643435980551,Normal,NO,3869.0,NO,Stable,3869.0,67622.0,6577.0,Growth Investment
1047,SUNPHARMA,Mar 2022,8985.0,-5556.0,-5193.0,-1765.0,100,Strong,61.83639398998331,High,NO,1290.0,NO,Growth Investment,1290.0,69776.0,3429.0,Stable
1051,TATACONSUM,Mar 2014,422.0,-1.0,-363.0,57.0,100,Strong,0.2369668246445498,Normal,NO,1438.0,NO,Growth Investment,1438.0,9911.0,421.0,Stable
1053,TATACONSUM,Mar 2016,116.0,145.0,-282.0,-21.0,100,Strong,125.0,High,NO,1354.0,NO,Stable,1354.0,9895.0,261.0,Growth Investment
1055,TATACONSUM,Mar 2018,356.0,-31.0,-30.0,294.0,100,Strong,8.707865168539326,Normal,NO,1068.0,NO,Growth Investment,1068.0,10461.0,325.0,Stable
1056,TATACONSUM,Mar 2019,210.0,53.0,-224.0,39.0,100,Strong,25.23809523809524,Normal,NO,1141.0,NO,Stable,1141.0,10881.0,263.0,Growth Investment
1057,TATACONSUM,Mar 2020,1082.0,-622.0,-308.0,152.0,100,Strong,57.48613678373382,High,NO,1586.0,NO,Growth Investment,1586.0,18473.0,460.0,Stable
1082,TATAPOWER,Mar 2021,8345.0,993.0,-7603.0,1736.0,100,Strong,11.89934092270821,Normal,NO,46708.0,NO,Stable,46708.0,98655.0,9338.0,Growth Investment
1083,TATAPOWER,Mar 2022,6693.0,-6250.0,-1183.0,-741.0,100,Strong,93.38114447930674,High,NO,51195.0,NO,Growth Investment,51195.0,112550.0,443.0,Stable
1103,TCS,Mar 2018,25067.0,3104.0,-26885.0,1286.0,100,Strong,12.38281405832369,Normal,NO,247.0,NO,Stable,247.0,105126.0,28171.0,Growth Investment
1106,TCS,Mar 2021,38802.0,-7956.0,-32634.0,-1788.0,100,Strong,20.50409772692129,Normal,NO,7795.0,NO,Growth Investment,7795.0,129992.0,30846.0,Stable
1108,TCS,Mar 2023,41965.0,548.0,-47878.0,-5365.0,100,Strong,1.305850113189563,Normal,NO,7688.0,NO,Stable,7688.0,142859.0,42513.0,Growth Investment
37,TCS,Mar-13,11615.0,-6038.0,-5729.0,-152.0,100,Strong,51.9845027981059,High,NO,,NO,Growth Investment,,,5577.0,Stable
