id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,interest_coverage,asset_turnover,net_debt,high_leverage_flag,icr_label
338,BPCL,Mar 2017,201251,187468,13783.0,7.0,2721,696,2108,13700,31.0,9507,20.0,49.0,417,1311.0,29508,35725,42541,109086,33684,16834,21327,37241,109086,1.1591875141957884,19.80316091954023,1.844883853106723,35725,False,Has Debt
339,BPCL,Mar 2018,235895,220578,15317.0,6.0,2927,1186,2885,14174,31.0,9792,21.0,46.0,418,1967.0,34652,37659,46078,120356,45539,9875,23725,41217,120356,1.0284005570878505,12.914839797639123,1.9599770680315065,37659,False,Has Debt
340,BPCL,Mar 2019,298226,283113,15112.0,5.0,2975,1764,3418,12905,34.0,8528,18.0,48.0,419,1967.0,36798,44839,53322,136926,49315,13654,24907,49050,136926,1.1566877337804722,8.566893424036282,2.1780085593678336,44839,False,Has Debt
341,BPCL,Mar 2020,284572,275597,8975.0,3.0,1393,2637,4080,3652,0.0,3666,7.0,106.0,420,1967.0,34565,65476,48852,150860,60175,17757,27029,45900,150860,1.792291689477718,3.403488813045127,1.8863316982632905,65476,False,Has Debt
342,BPCL,Mar 2021,230171,209170,21001.0,9.0,7489,1723,4334,22432,23.0,17320,37.0,102.0,421,2093.0,51462,54532,52891,160978,64098,17037,26768,53075,160978,1.0182429278312015,12.188624492164829,1.4298289207220862,54532,False,Has Debt
343,BPCL,Mar 2022,346791,327654,19137.0,6.0,4939,2606,5434,16037,27.0,11682,27.0,29.0,422,2129.0,49776,64534,71089,187529,83901,15433,23616,64578,187529,1.243309893073885,7.343438219493477,1.849265980195063,64534,False,Has Debt
344,BPCL,Mar 2023,473187,462288,10899.0,2.0,2036,3745,6369,2821,24.0,2131,5.0,40.0,423,2129.0,51393,69376,65210,188109,86675,16249,26778,58406,188109,1.2962146407084938,2.9102803738317755,2.5154936765386027,69376,False,Has Debt
345,BPCL,Mar 2024,448083,404001,44082.0,10.0,3032,4149,6771,36194,26.0,26859,62.0,33.0,424,2136.0,73499,54599,72184,202418,86798,20204,26631,68785,202418,0.7218747934157467,10.62472885032538,2.213651947949293,54599,False,Has Debt
347,BRITANNIA,Mar 2013,6185,5765,421.0,7.0,52,41,73,358,27.0,260,11.0,39.0,426,24.0,534,380,946,1883,737,147,108,891,1883,0.6810035842293907,10.268292682926829,3.2846521508231548,380,False,Has Debt
348,BRITANNIA,Mar 2014,6913,6286,627.0,9.0,34,8,83,569,30.0,395,16.0,36.0,427,24.0,774,150,1159,2107,848,107,198,954,2107,0.18796992481203006,78.375,3.280968201233982,150,False,Has Debt
349,BRITANNIA,Mar 2015,7858,6988,870.0,11.0,228,4,144,950,28.0,689,29.0,28.0,428,24.0,1221,145,1403,2793,844,48,518,1383,2793,0.11646586345381527,217.5,2.8134622269960614,145,False,Has Debt
350,BRITANNIA,Mar 2016,8397,7174,1224.0,15.0,115,5,113,1220,32.0,825,34.0,29.0,429,24.0,2068,131,1271,3494,950,90,788,1665,3494,0.06261950286806883,244.8,2.403262736119061,131,False,Has Debt
351,BRITANNIA,Mar 2017,9054,7776,1278.0,14.0,151,5,119,1304,32.0,885,37.0,30.0,430,24.0,2672,125,1288,4109,1160,30,487,2432,4109,0.046364985163204746,255.6,2.2034558286687758,125,False,Has Debt
352,BRITANNIA,Mar 2018,9914,8413,1501.0,15.0,166,8,142,1518,34.0,1004,42.0,30.0,431,24.0,3382,201,1581,5188,1346,203,1079,2560,5188,0.05901350557839107,187.625,1.9109483423284503,201,False,Has Debt
353,BRITANNIA,Mar 2019,11055,9322,1732.0,16.0,206,9,162,1768,35.0,1155,48.0,31.0,432,24.0,4229,156,1829,6238,1688,101,1476,2972,6238,0.03667999059487421,192.44444444444446,1.7722026290477717,156,False,Has Debt
354,BRITANNIA,Mar 2020,11600,9756,1843.0,16.0,263,77,185,1844,24.0,1394,58.0,60.0,433,24.0,4379,1538,1889,7830,1878,40,2893,3019,7830,0.3493072904837611,23.935064935064936,1.4814814814814814,1538,False,Has Debt
355,BRITANNIA,Mar 2021,13136,10627,2509.0,19.0,313,111,198,2514,26.0,1851,77.0,204.0,434,24.0,3524,2122,2331,8000,1793,117,2781,3310,8000,0.5980834272829764,22.603603603603602,1.642,2122,False,Has Debt
356,BRITANNIA,Mar 2022,14136,11935,2201.0,16.0,222,144,201,2078,27.0,1516,63.0,89.0,435,24.0,2534,2481,2487,7527,1753,536,1762,3475,7527,0.9698983580922595,15.284722222222221,1.8780390593862097,2481,False,Has Debt
357,BRITANNIA,Mar 2023,16301,13470,2831.0,17.0,597,169,226,3033,24.0,2316,96.0,75.0,436,24.0,3510,2997,2819,9351,2655,105,3324,3266,9351,0.8480475382003395,16.75147928994083,1.743236017538231,2997,False,Has Debt
358,BRITANNIA,Mar 2024,16769,13603,3167.0,19.0,211,164,300,2913,27.0,2134,89.0,83.0,437,24.0,3917,2065,3065,9072,2771,188,2767,3346,9072,0.5239786856127886,19.3109756097561,1.8484347442680775,2065,False,Has Debt
360,CANBK,Mar 2013,34070,26198,7217.0,655.0,2,3308,191,3771,22.0,2995,12.0,19.0,439,443.0,24733,376040,18108,419324,2883,1,127534,288907,419324,14.936447410231967,2.1816807738814994,0.08124982114069311,376040,True,Has Debt
361,CANBK,Mar 2014,39570,30606,9636.0,-672.0,-2,4144,230,3242,20.0,2672,10.0,19.0,440,461.0,29715,447913,23000,501090,6661,1,135445,358982,501090,14.843352332979851,2.3252895752895753,0.07896785008681076,447913,True,Has Debt
362,CANBK,Mar 2015,43813,34133,10302.0,-621.0,-1,4733,429,3683,22.0,2931,11.0,17.0,441,475.0,32017,499488,26578,558558,6969,1,152122,399466,558558,15.37264557429521,2.1766321571941685,0.07843948166528812,499488,True,Has Debt
