company_id,year,capital_allocation_label,cfo_quality_score,capex_intensity_pct,distress_flag
BAJAJHLDNG,Mar 2019,Growth Investment,100,25.95541401273885,NO
BAJAJHLDNG,Mar 2020,Growth Investment,100,41.66666666666667,NO
BAJAJHLDNG,Mar 2021,Growth Investment,100,113.2352941176471,NO
BAJAJHLDNG,Mar 2022,Growth Investment,100,9.378881987577639,NO
BAJAJHLDNG,Mar 2023,Growth Investment,100,7.928240740740741,NO
BAJAJHLDNG,Mar 2024,Growth Investment,100,24.31736218444101,NO
BAJFINANCE,Mar 2015,Financial Stress,40,5.096262740656852,YES
BAJFINANCE,Mar 2016,Financial Stress,40,6.96048632218845,NO
BAJFINANCE,Mar 2017,Financial Stress,40,29.1886195995785,YES
BAJFINANCE,Mar 2018,Financial Stress,40,5.227073811144608,NO
BAJFINANCE,Mar 2019,Financial Stress,40,18.50870552611658,NO
BAJFINANCE,Mar 2020,Financial Stress,40,35.87579878748156,NO
BAJFINANCE,Mar 2021,Financial Stress,40,53.15985130111525,NO
BAJFINANCE,Mar 2022,Financial Stress,40,17.11242922620652,NO
BAJFINANCE,Mar 2023,Financial Stress,40,24.6818009118541,YES
BAJFINANCE,Mar 2024,Financial Stress,40,9.855689939527213,NO
BANKBARODA,Mar 2013,Growth Investment,100,2.215899292981548,NO
BANKBARODA,Mar 2014,Growth Investment,100,1.728506144484171,NO
BANKBARODA,Mar 2015,Growth Investment,100,3.116941361139141,NO
BANKBARODA,Mar 2016,Stable,40,40.00599340725202,YES
BANKBARODA,Mar 2017,Growth Investment,100,3.084242933109432,NO
BANKBARODA,Mar 2018,Financial Stress,40,0.6935602760838974,YES
BANKBARODA,Mar 2019,Financial Stress,40,175.0862663906142,NO
BANKBARODA,Mar 2020,Growth Investment,100,0.7500944363499001,NO
BANKBARODA,Mar 2021,Stable,40,53.10033821871477,YES
BANKBARODA,Mar 2022,Growth Investment,100,58.69565217391305,NO
BANKBARODA,Mar 2023,Stable,40,5.132527863632107,YES
BANKBARODA,Mar 2024,Financial Stress,40,20.4813516098183,YES
BEL,Mar 2013,Stable,40,113.9051332033788,NO
BEL,Mar 2014,Stable,40,133.3919156414763,YES
BEL,Mar 2015,Growth Investment,100,58.50767085076709,NO
BEL,Mar 2016,Growth Investment,100,65.04424778761062,NO
BEL,Mar 2017,Stable,40,5106.55737704918,NO
BEL,Mar 2018,Stable,40,0.8733624454148471,YES
BEL,Mar 2019,Growth Investment,100,59.18097754293263,NO
BEL,Mar 2020,Growth Investment,100,25.25291828793774,NO
BEL,Mar 2021,Growth Investment,100,50.95228745336736,NO
BEL,Mar 2022,Growth Investment,100,115.8069883527454,NO
